anomType	catMean	catProp	catSet	catStd	clusterNum	clusters	numMean	numProp	numSet	numStd	rows
1	0.00121205	0.00305344	Salisbury	0.000441098							667756889045
1	0.00121205	0.00305344	St Marys	0.000441098							117822047893
1	0.000776179	0.00152672	Cootamundra	0.000110863							9956
1	0.000776179	0.00152672	Jurien Bay	0.000110863							11223356
1	0.000776179	0.00229008	Melbourne	0.000110863							  1990556016
1	0.000776179	0.00152672	Merredin	0.000110863							11225567
1	0.000776179	0.00152672	Mount Morgan	0.000110863							559989
1	0.000776179	0.00152672	Mundubbera	0.000110863							556623
1	0.000776179	0.00152672	Northam	0.000110863							11227756
1	0.000776179	0.00152672	Richmond	0.000110863							 1803876
1	0.000776179	0.00152672	Winchelsea	0.000110863							11116623
