clusters_ 1,clusters_ 2,clusters_ 3,clusters_ 4,clusters_ 5,clusters_ 6,clusters_ 7,clusters_ 8,clusters_ 9,clusters_10,clusters_11,clusters_12,clusters_13,clusters_14,clusters_15,clusters_16,clusters_17,clusters_18,clusters_19,clusters_20,clusters_21,clusters_22,clusters_23,clusters_24,clusters_25,clusters_26,clusters_27,clusters_28,clusters_29,clusters_30,clusters_31,clusters_32,clusters_33,clusters_34,clusters_35,clusters_36,clusters_37,clusters_38,clusters_39,clusters_40,clusters_41,clusters_42,clusters_43,clusters_44,clusters_45,clusters_46,clusters_47,clusters_48,clusters_49,clusters_50,clusters_51,clusters_52,clusters_53,clusters_54,clusters_55,clusters_56,clusters_57,clusters_58,clusters_59,clusters_60
1,22,33,43,75,78,188,205,216,238,302,316,318,369,376,458,472,477,525,540,591,675,727,738,791,804,817,841,927,967,983,984,998,1046,1057,1172,1205,1297,,,,,,,,,,,,,,,,,,,,,,
2,4,114,460,621,928,1045,1117,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,16,69,73,77,172,451,698,713,764,870,880,914,1027,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,85,93,177,185,248,315,370,585,716,785,893,1006,1019,1166,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41,74,118,135,279,281,284,292,312,354,502,569,614,632,652,667,689,759,779,860,878,962,974,994,1061,1104,1151,1178,1190,1280,1289,1299,1300,,,,,,,,,,,,,,,,,,,,,,,,,,
7,429,561,942,960,1041,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,47,351,598,665,768,814,1095,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,465,894,917,1067,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,87,97,99,100,110,113,128,133,151,191,221,285,346,407,435,466,513,531,636,648,697,748,800,811,826,837,838,916,939,941,1007,1068,1097,1134,1137,1196,1208,1247,1274,,,,,,,,,,,,,,,,,,,
11,111,209,411,724,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25,50,333,352,410,500,535,681,780,996,1110,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,211,769,924,1021,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27,45,49,61,86,129,161,162,201,236,298,345,362,481,520,563,566,575,579,580,642,669,670,688,746,807,855,864,898,920,929,940,997,1008,1034,1062,1089,1135,1194,1242,1287,1291,1306,,,,,,,,,,,,,,,,
19,83,90,174,456,608,654,658,741,899,971,1060,1129,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,283,290,611,617,640,663,664,742,850,989,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,243,332,402,532,567,595,600,603,783,798,869,1210,1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,38,141,160,215,274,297,317,343,487,643,732,753,796,865,884,888,925,958,1059,1070,1080,1109,1139,1177,1192,1223,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,217,223,348,475,626,755,937,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,102,106,361,375,445,499,521,581,596,731,815,926,981,985,991,1028,1047,1157,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,169,187,226,235,353,394,476,582,601,661,680,703,766,1096,1184,1240,1298,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,56,66,94,112,165,178,192,231,301,381,384,423,501,526,548,552,578,584,637,678,701,704,708,718,737,777,816,845,871,896,901,915,957,1022,1025,1048,1073,1078,1119,1162,1211,1278,,,,,,,,,,,,,,,,,
31,32,79,91,157,197,230,242,272,378,494,551,565,588,604,694,720,743,749,782,803,832,846,992,1040,1088,1201,1203,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,59,67,104,131,163,228,320,331,357,464,542,754,794,955,1033,1071,1075,1081,1099,1158,1195,1202,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,52,427,493,1143,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,150,170,269,420,457,469,492,541,545,574,624,677,692,763,840,848,913,956,1065,1105,1133,1171,1200,1228,1254,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
